,y,pinf,r
1981q4,868.9735640722,1.8078086421,3.3966666667
1982q1,867.0246376933,1.3509740652,3.5566666667
1982q2,867.2553402627,1.2062443907,3.6283333333
1982q3,866.5861942085,1.4025922453,2.7516666667
1982q4,866.3716759782,1.0720713487,2.3216666667
1983q1,867.3325311467,0.8187116397,2.1633333333
1983q2,869.3024304212,0.719588995,2.2008333333
1983q3,870.9742979393,1.0186480657,2.365
1983q4,872.7132598738,0.7526892731,2.3575
1984q1,874.2351320486,1.2420275735,2.4216666667
1984q2,875.6871804551,0.8595892065,2.6391666667
1984q3,876.3878740648,0.7963578251,2.8475
1984q4,876.90256946,0.6337212601,2.3166666667
1985q1,877.6031539588,1.1196859743,2.1191666667
1985q2,878.2146326687,0.5695556293,1.9808333333
1985q3,879.5042068361,0.4132355868,1.975
1985q4,879.973581825,0.6437040075,2.0258333333
1986q1,880.4322503556,0.5151102981,1.9566666667
1986q2,880.5533384236,0.512470504,1.73
1986q3,881.2213349266,0.5770826386,1.5516666667
1986q4,881.4315796937,0.6516953828,1.5666666667
1987q1,881.7376157387,0.8228332891,1.555
1987q2,882.5430673563,0.5434459508,1.6625
1987q3,883.178947118,0.7422782138,1.7108333333
1987q4,884.6639173421,0.7232887424,1.7291666667
1988q1,884.8792457112,0.846886478,1.6658333333
1988q2,885.9137471673,0.9513905516,1.7891666667
1988q3,886.2009728127,1.1106749763,1.9958333333
1988q4,887.2893285676,0.7471265282,2.1175
1989q1,888.0191313645,1.125151216,2.3608333333
1989q2,888.4546390979,0.9544407429,2.4316666667
1989q3,888.9377849225,0.7060963288,2.2708333333
1989q4,888.9685022209,0.6898147426,2.1533333333
1990q1,889.3166764347,1.1890002402,2.0625
1990q2,889.3615142762,1.1578126197,2.0608333333
1990q3,889.1377000581,0.8815915848,2.04
1990q4,888.1081106164,0.7469201639,1.9358333333
1991q1,887.3844440781,1.1788050282,1.6066666667
1991q2,887.8290850659,0.6424681348,1.4658333333
1991q3,888.0674431712,0.7068171287,1.4108333333
1991q4,888.2585124414,0.5224524733,1.2041666667
1992q1,889.0682100375,0.6025982535,1.0058333333
1992q2,889.8032185649,0.5456325233,0.9425
1992q3,890.5105140277,0.4514680355,0.8141666667
1992q4,891.3002687859,0.5172554431,0.7591666667
1993q1,891.1684749681,0.7760317308,0.76
1993q2,891.4426425571,0.5491864147,0.75
1993q3,891.6914330151,0.4299621921,0.765
1993q4,892.7450442316,0.5270045079,0.7475
1994q1,893.5195604364,0.6046509218,0.8033333333
1994q2,894.5929383197,0.418867444,0.985
1994q3,894.8832573713,0.638285893,1.1216666667
1994q4,895.7702457281,0.4650607339,1.2916666667
1995q1,895.9053661343,0.633489257,1.4525
1995q2,895.8750697418,0.3588005311,1.505
1995q3,896.4288681236,0.4670165101,1.4491666667
1995q4,896.884037441,0.479943847,1.43
1996q1,897.3746352206,0.6395773733,1.3408333333
1996q2,898.7486697029,0.3540356771,1.3108333333
1996q3,899.2992552635,0.311284298,1.3266666667
1996q4,900.1591964517,0.5297224185,1.32
1997q1,900.464714757,0.6374557216,1.3191666667
1997q2,901.7564876991,0.1597813858,1.3808333333
1997q3,902.7321839663,0.3439240047,1.3833333333
1997q4,903.1876038049,0.3260531679,1.3766666667
1998q1,904.0628209782,0.2532108577,1.38
1998q2,904.4726078139,0.1663738179,1.375
1998q3,905.3358767271,0.3640157715,1.3833333333
1998q4,906.5447299573,0.3451593328,1.215
1999q1,907.013357117,0.4056383032,1.1833333333
1999q2,907.5689693553,0.3548685276,1.1866666667
1999q3,908.4350790393,0.346472008,1.2733333333
1999q4,909.9004728317,0.4265831509,1.3266666667
2000q1,908.7199555765,0.8950800344,1.42
2000q2,910.0101828436,0.4300174413,1.5683333333
2000q3,909.5771721118,0.5139908518,1.63
2000q4,909.7948671004,0.405126845,1.6183333333
2001q1,909.4188311288,0.8033920052,1.3983333333
2001q2,909.4295374698,0.7598328414,1.0816666667
2001q3,908.7581435499,0.4128305209,0.8741666667
2001q4,908.8324069194,0.50129801,0.5333333333
2002q1,909.4156453153,0.2506764249,0.4333333333
2002q2,909.7564990016,0.444635934,0.4375
2002q3,910.0927559178,0.318994861,0.435
2002q4,909.967449552,0.4870939557,0.3608333333
2003q1,909.6823832211,0.7115301217,0.3125
2003q2,910.4351636549,0.2830114668,0.3116666667
2003q3,911.8877100462,0.3293279126,0.2541666667
2003q4,912.5687513745,0.3526577565,0.2516666667
2004q1,913.5859124135,0.6764336801,0.2508333333
2004q2,914.1650230405,0.7866706617,0.2525
2004q3,914.829588046,0.3592292908,0.3583333333
2004q4,915.443974894,0.5680632239,0.4875
